"key","AIContextualSummary","AffiliateLink","AnnualFee","CardTier","FullName","Issuer","Perks","RewardsRate","SpecialOffers","UpdatedAt"
"","カード名: ビューカード スタンダード
                    年会費: 524円
                    ポイント還元率: 0.5%～5.0%
                    特徴: Suicaのオートチャージを設定でき、1.5％のJRE POINT獲得可能、年間利用額に応じて最大5,250ポイントのボーナスポイント、「えきねっと」利用やモバイルSuica定期券購入で3％還元になるVIEWプラス、JRE POINTは1ポイント単位でSuicaにチャージできる、JRE POINTで交換できる「JRE POINT特典チケット」や「JRE POINTアップグレード」で新幹線・特急を快適に利用可能","","524円","Standard","ビューカード スタンダード","","オートチャージ可能、貯めたポイントはSuicaに交換できるカードです。","0.5%～5.0%","最大12,000円相当プレゼント","2025-06-10T21:53:33.443543"
"","カード名: SAISON CARD Digital
                    年会費: 無料
                    ポイント還元率: 0.5%～1.0%
                    特徴: 即日発行可能のため、急遽カードが必要な際に活躍、デジタルカードで、不正利用やスキミングのリスク低、タッチ決済で暗証番号入力不要","","無料","Standard","SAISON CARD Digital","","最短5分でデジタルカードが発行される、完全ナンバーレスカードです。","0.5%～1.0%","","2025-06-10T21:53:33.444045"
"","カード名: apollostation card（アポロステーションカード）
                    年会費: 無料
                    ポイント還元率: 0.5%
                    特徴: 「出光カードまいどプラス」の後継カード、嬉しい年会費永久無料、全国7200カ所以上のapollostationが値引き対象、JAFの年会費と比較し、ロードサービスを優待価格で受けられる","","無料","Standard","apollostation card（アポロステーションカード）","","年会費永久無料、ガソリン代の値引が受けられるお得なカードです。","0.5%","","2025-06-10T21:53:33.444520"
"","カード名: JCB Biz ONE 一般
                    年会費: 無料
                    ポイント還元率: 1.0%～10.5%
                    特徴: 年会費無料でポイント常時2倍、個人名義口座設定の場合は最短5分でカード発行、オリジナルシリーズパートナーのAmazonを登録するとAmazon利用がポイント4倍、ためたOki DokiポイントをAmazonで1ポイント＝3.5円で利用できる","","無料","Standard","JCB Biz ONE 一般","","年会費永年無料でポイントが2倍貯まるジェーシービーの個人事業主向けカードです。","1.0%～10.5%","最大16,000円相当プレゼント","2025-06-10T21:53:33.445006"
"","カード名: au PAY カード
                    年会費: 無料
                    ポイント還元率: 1.0%～1.5%
                    特徴: 貯まるポイントはPontaポイントで使いやすい、auカブコム証券でau PAY カードによる積立投資が可能、利用金額などをメールで送る設定可能で不正利用に気がつきやすい","","無料","Standard","au PAY カード","","スマホがau以外でも利用可能に。Pontaポイントが貯まりやすいカードです。","1.0%～1.5%","最大5,000円相当プレゼント","2025-06-10T21:53:33.445498"
"","カード名: セゾンコバルト・ビジネス・アメリカン・エキスプレス(R)・カード
                    年会費: 無料
                    ポイント還元率: 0.5%～2.0%
                    特徴: インターネットでカードの申込みが完結、年会費無料で追加カードが9枚まで発行可能、ビジネスシーンで利用の多いサイトでポイントが最大4倍、ショッピングやホテル、レストランなどで最大10倍のボーナスポイント・パートナー","","無料","Standard","セゾンコバルト・ビジネス・アメリカン・エキスプレス(R)・カード","","スタートアップなど、初めてのビジネスカードを検討している方向けのカードです。","0.5%～2.0%","最大8,000円相当プレゼント","2025-06-10T21:53:33.445974"
"","カード名: JCB CARD W plus L
                    年会費: 無料
                    ポイント還元率: 1.0%～10.5%
                    特徴: JCB CARD Wと同様のスペック、女性向けの保険が充実、社会人女性におすすめ、「LINDA」の現代版","","無料","Standard","JCB CARD W plus L","","年会費無料、選べるデザインで安心のナンバーレス。還元率最大10.5%のカードです。","1.0%～10.5%","最大24,000円相当プレゼント,さらに500円相当プレゼント","2025-06-10T21:53:33.446539"
"","カード名: UPSIDERカード
                    年会費: 無料
                    ポイント還元率: 1.0%
                    特徴: 最大10億円の利用限度額、法人カードで年会費無料、1％還元、貯まったポイントは自動で請求時に利用、カード発行枚数無制限、カード毎に限度額・利用先などを設定可能","","無料","Standard","UPSIDERカード","","最短即日発行可能で利用限度額が最大10億円の法人カードです。","1.0%","","2025-06-10T21:53:33.447074"
"","カード名: ウエルシアカード
                    年会費: 無料
                    ポイント還元率: 0.5%～2.0%
                    特徴: ウエルシアグループ対象店舗で1.5％還元、ウエルシアでは貯まったWAON POINTで毎月20日の「お客様感謝デー」は200ポイントで300円分利用可能、イオンでは毎月20日・30日の「お客さま感謝デー」で5％オフ、イオングループ対象店舗で常時1％還元、最短5分でカード発行","","無料","Standard","ウエルシアカード","","ウエルシアグループ対象店舗でWAON POINTが貯まりやすいカードです。","0.5%～2.0%","最大1,000円相当プレゼント","2025-06-10T21:53:33.447564"
"","カード名: JRE CARD（タッチ決済付）
                    年会費: 524円（初年度無料）
                    ポイント還元率: 0.5%～5.0%
                    特徴: 駅ビル・エキナカのJRE CARD優待店で最大3.5％還元、JRE MALLやJRE MALLふるさと納税でも最大3.5％還元、モバイルSuicaチャージで1.5％還元、貯まったJRE POINTをSuicaにチャージできる、JRE CARDの中で唯一Visaのタッチ決済を利用できる","","524円（初年度無料）","Standard","JRE CARD（タッチ決済付）","","JRE CARD優待店でのお買いもので最大3.5％のJRE POINTが貯まるカードです。","0.5%～5.0%","最大4,000円相当プレゼント","2025-06-10T21:53:33.448048"
"","カード名: イオンカードセレクト
                    年会費: 無料
                    ポイント還元率: 0.5%～1.0%
                    特徴: クレカ、電子マネーWAON、イオン銀行キャッシュカードが一枚に集約、イオングループ対象店舗でいつでもポイント2倍（1%還元）、毎月20・30日の「お客さま感謝デー」は5%OFF、イオンシネマで映画鑑賞割引、条件を満たすと年会費無料のゴールドカードを発行","","無料","Standard","イオンカードセレクト","","キャッシュカードと電子マネーWAONが付帯したイオンカードです。","0.5%～1.0%","最大5,000円相当プレゼント","2025-06-10T21:53:36.821348"
"","カード名: コスモ・ザ・カード・オーパス
                    年会費: 無料
                    ポイント還元率: 0.5%～1.5%
                    特徴: 入会特典は燃料油400リットル分キャッシュバック、コスモSSでは会員価格で給油ができる、電子マネーWAON一体型も発行可能、イオングループでの買い物は常時ポイント2倍","","無料","Standard","コスモ・ザ・カード・オーパス","","入会特典あり、会員価格で燃料油が請求時値引になるイオンカードです。","0.5%～1.5%","","2025-06-10T21:53:36.822264"
"","カード名: アメリカン・エキスプレス(R)・グリーン・カード
                    年会費: 13,200円
                    ポイント還元率: 0.5%～1.0%
                    特徴: メンバーシップ・リワード・プラス加入（有料）し、「ボーナスポイントプログラム（参加費無料）」に登録で対象加盟店でのポイントが3倍に、独自の「プロテクション・サービス」で安心、国内外の空港ラウンジが利用できる「プライオリティ・パス」が付帯","","13,200円","Standard","アメリカン・エキスプレス(R)・グリーン・カード","","カードの利用で無駄なくポイントが貯まる、月会費制のアメックスカードです。","0.5%～1.0%","最大10,500円相当プレゼント","2025-06-10T21:53:36.822872"
"","カード名: JRE CARD（Suica定期券付）
                    年会費: 524円（初年度無料）
                    ポイント還元率: 0.5%～5.0%
                    特徴: 駅ビル・エキナカのJRE CARD優待店で最大3.5％還元、オートチャージやモバイルSuicaのチャージで1.5％還元、えきねっとで新幹線eチケット購入・利用で最大5％還元、定期券も搭載可能だがモバイルSuica定期券の方が5％還元でお得、モバイルSuicaグリーン券購入で5％還元","","524円（初年度無料）","Standard","JRE CARD（Suica定期券付）","","JRE CARD優待店でのお買いもので最大3.5％のJRE POINTが貯まるカードです。","0.5%～5.0%","最大4,000円相当プレゼント","2025-06-10T21:53:36.823410"
"","カード名: 三井住友カード（カードレス）
                    年会費: 無料
                    ポイント還元率: 0.5%～7.0%
                    特徴: 最短10秒でカード番号発行可能で、オンラインではカード番号を使い、実店舗ではApple PayやGoogle Payですぐに利用できる、三井住友カード（NL）等と同じように、家族ポイントも含めると対象のコンビニ・飲食店で最大12％還元、カードが発行されないため、落としたり、無くしたりしない","","無料","Standard","三井住友カード（カードレス）","","Visaのクレジットカードとして、国内初のカードレスとなるクレジットカードです。","0.5%～7.0%","最大5,000円相当プレゼント,さらに500円相当プレゼント","2025-06-10T21:53:36.823938"
"","カード名: セゾンパール・アメリカン・エキスプレス(R)・カード
                    年会費: 1,100円（初年度無料）
                    ポイント還元率: 0.5%～2.0%
                    特徴: 年会費が初年度無料、2年目以降も1回のショッピング利用で無料、全国186万箇所（2022年3月末時点）のQUICPay加盟店で優遇あり　25歳以下は大手コンビニでQUICPay利用時にさらに優遇、ナンバーレスタイプを選ぶことができ、券面に番号がないため、安心して利用可能、セゾン・アメックス・キャッシュバックを利用できる","","1,100円（初年度無料）","Standard","セゾンパール・アメリカン・エキスプレス(R)・カード","","初年度の年会費無料、QUICPayの利用で2％相当ポイント還元されるカードです。","0.5%～2.0%","最大8,000円相当プレゼント","2025-06-10T21:53:36.824477"
"","カード名: セブンカード・プラス
                    年会費: 無料
                    ポイント還元率: 0.5%～9.5%
                    特徴: どこで使ってもnanacoが貯まり、nanacoチャージでポイントが貯まる、イトーヨーカドーで8のつく日は5%OFF、イトーヨーカドーアプリにカードを紐付けるとセブンマイルもたまる、セブン-イレブンでポイント最大20倍（10%還元）","","無料","Standard","セブンカード・プラス","","電子マネーnanaco搭載、セブン-イレブン利用で最大11%還元されるカードです。","0.5%～9.5%","最大5,100円相当プレゼント","2025-06-10T21:53:36.825004"
"","カード名: イオンカード（ミニオンズ）
                    年会費: 無料
                    ポイント還元率: 0.5%～1.0%
                    特徴: ミニオンズファン必見の年会費無料カード、ユニバーサル・スタジオ・ジャパン内の利用はポイント10倍(5%)、イオンシネマのチケットが年間12枚まで1,000円（税込）、イオングループでは、ポイント2倍(1%)、イオンお客さま感謝デーは5%オフ","","無料","Standard","イオンカード（ミニオンズ）","","ユニバーサル・スタジオ・ジャパン内でWAON POINTが10倍貯まるカードです。","0.5%～1.0%","最大5,000円相当プレゼント","2025-06-10T21:53:36.825549"
"","カード名: 九州カードNEXT クラシックカード
                    年会費: 無料
                    ポイント還元率: 1.0%～5.0%
                    特徴: 年会費無料で1％還元、ローソン・マクドナルドでタッチ決済を利用すると最大5％還元、カード情報は裏面に記載のナンバーレス仕様、海外主要都市で現地スタッフが日本語で対応してくれるVJデスクを利用可能","","無料","Standard","九州カードNEXT クラシックカード","","年会費永年無料、タッチ決済でポイントが最大5%還元されるカードです。","1.0%～5.0%","最大10,000円相当プレゼント","2025-06-10T21:53:36.826046"
"","カード名: JALカードSuica
                    年会費: 2,200円（初年度無料）
                    ポイント還元率: 0.5%～1.0%
                    特徴: 日常使いはJALのマイル、JR東日本での利用はJRE POINTの2つのポイントが貯まる、Suicaのオートチャージ設定が可能　オートチャージ時に1.5％のJRE POINTが貯まる、新幹線eチケットでチケットレス乗車をすると5％のJRE POINTを獲得可能、JRE POINTはJALのマイルに交換可能　ショッピングマイル・プレミアム入会時は1,500ポイントが1,000マイルに交換できる","","2,200円（初年度無料）","Standard","JALカードSuica","","JALマイルはもちろんJRE POINTも貯まるカードです。","0.5%～1.0%","","2025-06-10T21:53:36.826531"
"","カード名: ANAアメリカン・エキスプレス(R)・カード
                    年会費: 7,700円
                    ポイント還元率: 0.5%～0.75%
                    特徴: 「ポイント移行コース」の登録（年間参加費6,600円）でポイントが無期限に　好きなタイミングでマイルへの交換可能、1,000ポイント＝1,000マイルで年間上限なしで移行可能、ANA航空券の購入時には2.5％還元、国内外29空港の空港ラウンジを同伴者1名まで無料、外からの帰国時に空港から自宅までスーツケース1個無料配送","","7,700円","Standard","ANAアメリカン・エキスプレス(R)・カード","","ANAマイルが貯まりやすい、アメリカン・エキスプレス(R)・カードです。","0.5%～0.75%","最大3,600円相当プレゼント","2025-06-10T21:53:36.827052"
"","カード名: TOKYU CARD ClubQ JMB PASMO
                    年会費: 1,100円（初年度無料）
                    ポイント還元率: 0.5%～3.0%
                    特徴: web明細登録でどこでも1％還元、PASMOオートチャージでも1％還元、東急グループでの利用の場合はポイント上乗せ、貯まったポイントをPASMOにチャージ可能","","1,100円（初年度無料）","Standard","TOKYU CARD ClubQ JMB PASMO","","ポイント最大3％還元、JMB機能搭載でPASMO一体型の東急カードです。","0.5%～3.0%","最大1,000円相当プレゼント","2025-06-10T21:53:36.827540"
"","カード名: 三井ショッピングパークカード《セゾン》
                    年会費: 無料
                    ポイント還元率: 0.5%～1.0%
                    特徴: 三井ショッピングパークポイントの対象施設では永久不滅ポイントと三井ショッピングパークポイントのダブル取り、永久不滅ポイントは三井ショッピングパークポイントに交換して利用可能、対象施設ではスマホだけで決済できる「アプリde支払い」が便利、対象施設での駐車料金優待","","無料","Standard","三井ショッピングパークカード《セゾン》","","全国の対象施設で三井ショッピングパークポイントが貯まるセゾンカードです。","0.5%～1.0%","最大2,500円相当プレゼント","2025-06-10T21:53:36.828028"
"","カード名: Amazon Prime Mastercard
                    年会費: 無料
                    ポイント還元率: 1.0%～2.0%
                    特徴: Amazonでの買い物は2.0％還元、コンビニでのカード利用で常時1.5%還元、最高2,000万円の海外旅行傷害保険付き","","無料","Standard","Amazon Prime Mastercard","","Amazonの利用で還元率2.0%、年会費無料のAmazonプライム会員用カードです。","1.0%～2.0%","","2025-06-10T21:53:36.828487"
"","カード名: イオンJMBカード(JMB WAON一体型)
                    年会費: 無料
                    ポイント還元率: 0.5%～1.25%
                    特徴: WAONとJALマイレージバンクが一体型、200円（税込）につき1マイルが貯まる（0.5%還元）、毎月5のつく日はイオンでの買い物でJALマイルが2倍、「JALタッチ＆ゴー」でスピーディな飛行機の搭乗ができる、55歳以上なら毎月15日は5%オフ","","無料","Standard","イオンJMBカード(JMB WAON一体型)","","WAONとJALマイレージバンクの機能を搭載したイオンカードです。","0.5%～1.25%","","2025-06-10T21:53:36.828976"
"","カード名: JALカード 普通カード
                    年会費: 2,200円（初年度無料）
                    ポイント還元率: 0.5%～1.0%
                    特徴: 入会、毎年初回搭乗でボーナスマイル、搭乗ごとにボーナスフライトマイルが10%、利用に応じて直接マイルが貯まる、通常200円=1マイル、特約店で200円=2マイルが貯まる、ショッピング・マイルプログラム（有料）に加入で通常100円につき1マイルが貯まる","","2,200円（初年度無料）","Standard","JALカード 普通カード","","フライトやショッピングで。JALマイルが貯まるJALのスタンダードカードです。","0.5%～1.0%","","2025-06-10T21:53:36.829464"
"","カード名: マネーフォワード ビジネスカード
                    年会費: 1,100円（初年度無料）
                    ポイント還元率: 1.0%～3.0%
                    特徴: 年会費実質無料で基本還元率が1％、貯まったポイントは1ポイント＝1円として決済に利用可能、ウォレットチャージで利用上限を大幅にアップできる、発行枚数無制限","","1,100円（初年度無料）","Standard","マネーフォワード ビジネスカード","","マネーフォワード関連サービスの利用でポイントが3%還元される法人カードです。","1.0%～3.0%","","2025-06-10T21:53:36.829945"
"","カード名: JALカード navi（学生専用）
                    年会費: 無料
                    ポイント還元率: 1.0%～2.0%
                    特徴: 在学期間中は年会費無料、マイルの有効期限が無期限に、国内線・国際線の特典航空券を通常よりも少ないマイルで交換できる、ショッピングマイルは、通常有料サービスのショッピングマイル・プレミアムと同じ1％還元","","無料","Standard","JALカード navi（学生専用）","","学生ならではの特典が受けられる学生専用JALカードです。","1.0%～2.0%","","2025-06-10T21:53:36.830412"
"","カード名: ANA JCB 一般カード
                    年会費: 2,200円（初年度無料）
                    ポイント還元率: 0.5%～2.0%
                    特徴: 初年度の年会費が無料で、ANAカードの特徴を知るためには最適なカード、カードの入会・継続で1,000マイル付与、年間100万円以上の利用でOki Dokiポイントが翌年20％増量　最大1.06％のマイル還元に、家族カードの発行で家族でマイルを合算して利用可能に","","2,200円（初年度無料）","Standard","ANA JCB 一般カード","","3つの機能が1枚に集約された、ANAマイルが貯まるカードです。","0.5%～2.0%","最大30,000円相当プレゼント","2025-06-10T21:53:36.830876"
"","カード名: Oliveフレキシブルペイ
                    年会費: 無料
                    ポイント還元率: 0.5%～7.0%
                    特徴: 0歳から申し込み可能（クレジットモードは満18歳以上）、対象のコンビニ・飲食店でスマホのタッチ決済を利用すると最大7％還元、Ｖポイントアッププログラムでさらにコンビニ・飲食店でポイントアップ、1枚のカードでクレジットカード・デビットカードなどを切替可能、ナンバーレス・署名欄もないシンプルデザインカード","","無料","Standard","Oliveフレキシブルペイ","","キャッシュカード一体型でデビットやポイント払い機能も付いたカードです。","0.5%～7.0%","最大5,000円相当プレゼント","2025-06-10T21:53:36.831378"
"","カード名: 大丸松坂屋カード
                    年会費: 2,200円（初年度無料）
                    ポイント還元率: 0.45%～0.5%
                    特徴: 大丸・松坂屋では基本5％の大丸・松坂屋のポイントが還元される、大丸・松坂屋でもそれ以外でも、QIRAポイントが200円につき1ポイント貯まる、QIRAポイントの使い道が豊富　体験イベントなどに参加も可能、大丸松坂屋カード クラブオフに登録すると、映画館などでの優待を受けられる","","2,200円（初年度無料）","Standard","大丸松坂屋カード","","大丸・松坂屋の利用で2種類のポイントが貯まり最大5.5%還元されるカードです。","0.45%～0.5%","最大9,000円相当プレゼント","2025-06-10T21:53:40.507044"
"","カード名: イオンカード（WAON一体型/ミッキーマウス デザイン）
                    年会費: 無料
                    ポイント還元率: 0.5%～1.0%
                    特徴: 最短5分で即時発行できるミッキーマウスデザインのイオンカード、オンライン申し込みで当日イオン店舗でカード受取可能、WAON一体型で電子マネーWAONでの買い物もできる、優待特典で旅行なども割引に","","無料","Standard","イオンカード（WAON一体型/ミッキーマウス デザイン）","","クレジットもWAON機能も付いたミッキーマウスデザインのイオンカードです。","0.5%～1.0%","最大5,000円相当プレゼント","2025-06-10T21:53:40.507963"
"","カード名: イオンカードセレクト（ミニオンズ）
                    年会費: 無料
                    ポイント還元率: 0.5%～1.0%
                    特徴: イオンシネマなら年間12枚まで1,000円（税込）で映画鑑賞、キャッシュカード、クレジットカード、電子マネーWAONを集約、USJでのお買い物はポイントが10倍、イオングループ対象店での買い物もお得","","無料","Standard","イオンカードセレクト（ミニオンズ）","","クレジットカードとキャッシュカード、WAONの3つの機能が1枚になったカードです。","0.5%～1.0%","最大5,000円相当プレゼント","2025-06-10T21:53:40.508522"
"","カード名: 楽天PINKカード
                    年会費: 無料
                    ポイント還元率: 1.0%～3.0%
                    特徴: 楽天市場での買い物は楽天カードと同様に最大ポイント3倍、おしゃれなピンク色　JCBブランドならディズニーデザインも、カード利用状況をメールで通知するサービスで不正利用を早期に発見、月額330円で楽天ポイントやクーポンをもらえる「楽天グループ優待サービス」を利用できる、月額330円で飲食店や映画チケット、習い事等が割引になる「ライフスタイル応援サービス」もオプションで選択可","","無料","Standard","楽天PINKカード","","楽天PINKカード限定のカスタマイズサービスが利用できるカードです。","1.0%～3.0%","最大5,000円相当プレゼント","2025-06-10T21:53:40.509117"
"","カード名: ANA To Me CARD PASMO JCB（ソラチカカード）
                    年会費: 2,200円（初年度無料）
                    ポイント還元率: 0.5%～2.0%
                    特徴: 東京メトロの乗車、東京メトロの売店や自動販売機などでのPASMO利用でメトロポイントが貯まる、貯まったメトロポイントからマイルへの交換レートが抜群、カードの入会・継続で1,000マイル獲得できる、ANAカードには珍しいエンボスレスで財布もすっきり","","2,200円（初年度無料）","Standard","ANA To Me CARD PASMO JCB（ソラチカカード）","","２つのポイントとANAのマイルが貯まるPASMO機能が付いたカードです。","0.5%～2.0%","最大30,000円相当プレゼント","2025-06-10T21:53:40.509671"
"","カード名: JCB法人カード
                    年会費: 1,375円（初年度無料）
                    ポイント還元率: 0.45%～9.9%
                    特徴: 年会費が安いJCBオリジナルシリーズの法人カード、ETCカードは年会費無料で複数枚発行可能、クラウド会計ソフトと連携でスピーディーな会計処理ができる、Amazonでポイント1.5%還元","","1,375円（初年度無料）","Standard","JCB法人カード","","JCBの基本機能はもちろん、法人ならではのサービスが利用できるカードです。","0.45%～9.9%","最大51,000円相当プレゼント,6/30までのお申し込みで初年度年会費無料","2025-06-10T21:53:40.510200"
"","カード名: OPクレジット
                    年会費: 550円（初年度無料）
                    ポイント還元率: 0.5%～4.0%
                    特徴: 小田急ポイントサービス加盟店の利用では最大12％ポイント還元、PASMOオートチャージでもポイント獲得できる、家族カードを持てない15歳以上の場合は「OPポイント専用カード」を発行できる、映画・演劇・ミュージカルなどを特別価格で購入可能（CNプレイガイド）","","550円（初年度無料）","Standard","OPクレジット","","小田急ポイントサービス加盟店で最大12％のポイントが貯まるカードです。","0.5%～4.0%","最大500円相当プレゼント","2025-06-10T21:53:40.510733"
"","カード名: ビックカメラSuicaカード
                    年会費: 524円（初年度無料）
                    ポイント還元率: 0.5%～11.0%
                    特徴: 初年度年会費無料。翌年以降も前年カード利用で無料、クレジットカード払いでビックポイント11％還元、Suicaへのチャージ（オートチャージ含む）が可能","","524円（初年度無料）","Standard","ビックカメラSuicaカード","","ビックカメラを利用すると基本11%のビックポイントが付与されるカードです。","0.5%～11.0%","","2025-06-10T21:53:40.511227"
"","カード名: ライフカードビジネスライトプラス（スタンダード）
                    年会費: 無料
                    ポイント還元率: 0.5%
                    特徴: 法人カードで年会費が無料、従業員用の追加カードも3枚発行できて年会費が無料、代表者の本人確認書類だけで申し込みでき、最短3営業日でカードの発行ができる、3つの国際ブランドから選択可　VisaやMastercard(R)のビジネス特典も利用可能","","無料","Standard","ライフカードビジネスライトプラス（スタンダード）","","年会費無料、本人確認資料のみで申し込み可能なビジネスカードです。","0.5%","","2025-06-10T21:53:40.511684"
"","カード名: アメリカン・エキスプレス(R)・ビジネス・グリーン・カード
                    年会費: 13,200円
                    ポイント還元率: 0.5%～1.0%
                    特徴: 国内線の空港ラウンジは同伴者1名も無料、クラブオフの利用が追加カード含めて可能、追加カードの利用限度額を設定でき、従業員のカード利用をコントロールできる、法人専用運賃で利用できるJALオンラインに申込可能","","13,200円","Standard","アメリカン・エキスプレス(R)・ビジネス・グリーン・カード","","法人格のある法人代表者向け、アメックスのビジネスカードです。","0.5%～1.0%","最大25,200円相当プレゼント","2025-06-10T21:53:40.512183"
